,id,BoroCT2010,n_report,DBN,school_distance,n_school,subway_distance,n_tobacco,Enrollment,Student Achievement Rating,Percent White,Percent Black,Percent Hispanic,Percent Asian,% Female,% Poverty,MHI,Total Population,type,latitude,longitude,have_sold
1629,11598,3119400,0.0,31R440,7264.28973562,0.0,20461.9078964,8,2876,Approaching Target,0.51,0.121,0.289,0.068,0.484005570412,0.567454814911,22455,3914,GROCERY SUPERMARKET,40.674643137,-73.876982779,0
1630,15434,3119400,0.0,11X544,3254.67332247,0.0,1683.84983231,8,494,Meeting Target,0.006,0.399,0.575,0.006,0.44736841321,1.0,22455,3914,GROCERY SUPERMARKET,40.674453767,-73.878207,0
1631,18656,2001600,0.0,04M409,1523.68986045,0.0,851.670897887,5,232,Approaching Target,0.026,0.409,0.504,0.047,0.439655184746,1.0,30355,5643,GROCERY SUPERMARKET,40.815738599,-73.860241463,0
1632,17866,2001600,1.0,31R455,14105.9907965,0.0,69145.7699741,5,3907,Meeting Target,0.79,0.019,0.125,0.051,0.48323521018,0.288968503475,30355,5643,GROCERY SUPERMARKET,40.817553335,-73.858647013,1
1633,19645,2001600,0.0,30Q286,3535.24111025,6.0,1581.98378473,5,316,Exceeding Target,0.203,0.047,0.396,0.354,1.0,0.850267350674,30355,5643,GROCERY SUPERMARKET,40.82057983,-73.857949982,0
1634,17742,2001600,0.0,20K490,2612.64192016,6.0,744.50914401,5,4408,Approaching Target,0.345,0.047,0.302,0.281,0.464836657047,0.673094391823,30355,5643,GROCERY SUPERMARKET,40.821903419,-73.858889391,0
1635,12255,2001600,0.0,12X478,742.821271858,6.0,522.869155823,5,318,Meeting Target,0.038,0.214,0.704,0.025,0.619496881962,0.789308190346,30355,5643,GROCERY SUPERMARKET,40.821442759,-73.858100966,0
1636,17476,2002701,0.0,84K473,2342.76134675,0.0,1440.9983693,5,972,Meeting Target,0.014,0.301,0.674,0.002,0.557613193989,0.759259283543,19450,3113,DELICATESSEN,40.804164849,-73.915281462,0
1637,18630,2002701,0.0,84X429,1131.84280375,0.0,131.543603127,5,128,,0.016,0.117,0.578,0.008,0.6015625,0.546875,19450,3113,GROCERY SUPERMARKET,40.804164849,-73.915281462,0
1638,11872,2002701,0.0,12X372,642.000686015,0.0,1706.85897231,5,362,Approaching Target,0.011,0.265,0.702,0.014,0.463541656733,1.0,19450,3113,GROCERY SUPERMARKET,40.805377005,-73.916110157,0
